node_id	pagerank	tpagerank_ntr	tpagerank_ntk
0	0.000019480539583	0.000019452367441	0.000019480539583
1	0.000433442005726	0.000432815175558	0.000433442005726
2	0.000019480539583	0.000019452367441	0.000019480539583
3	0.000019480539583	0.000019452367441	0.000019480539583
4	0.000019480539583	0.000019452367441	0.000019480539583
5	0.000019480539583	0.000019452367441	0.000019480539583
6	0.000019480539583	0.000019452367441	0.000019480539583
7	0.000019480539583	0.000019452367441	0.000019480539583
8	0.000019480539583	0.000019452367441	0.000019480539583
9	0.000019480539583	0.000019452367441	0.000019480539583
10	0.000019480539583	0.000019452367441	0.000019480539583
11	0.000019480539583	0.000019452367441	0.000019480539583
12	0.000019480539583	0.000019452367441	0.000019480539583
13	0.000019480539583	0.000019452367441	0.000019480539583
14	0.000019480539583	0.000019452367441	0.000019480539583
15	0.000019480539583	0.000019452367441	0.000019480539583
16	0.000019480539583	0.000019452367441	0.000019480539583
17	0.000019480539583	0.000019452367441	0.000019480539583
18	0.000019480539583	0.000019452367441	0.000019480539583
19	0.000019480539583	0.000019452367441	0.000019480539583
20	0.000019480539583	0.000019452367441	0.000019480539583
21	0.000019480539583	0.000019452367441	0.000019480539583
22	0.000019480539583	0.000019452367441	0.000019480539583
23	0.000019480539583	0.000019452367441	0.000019480539583
24	0.000019480539583	0.000019452367441	0.000019480539583
25	0.000019480539583	0.000019452367441	0.000019480539583
26	0.000019480539583	0.000019452367441	0.000019480539583
27	0.001056610998104	0.001055082960579	0.001056610998104
28	0.000019480539583	0.000019452367441	0.000019480539583
29	0.000019480539583	0.000019452367441	0.000019480539583
30	0.000019480539583	0.000019452367441	0.000019480539583
31	0.000019480539583	0.000019452367441	0.000019480539583
32	0.000019480539583	0.000019452367441	0.000019480539583
33	0.000019480539583	0.000019452367441	0.000019480539583
34	0.000019480539583	0.000019452367441	0.000019480539583
35	0.000019480539583	0.000019452367441	0.000019480539583
36	0.000019480539583	0.000019452367441	0.000019480539583
37	0.000019480539583	0.000019452367441	0.000019480539583
38	0.000019480539583	0.000019452367441	0.000019480539583
39	0.000019480539583	0.000019452367441	0.000019480539583
40	0.000019480539583	0.000019452367441	0.000019480539583
41	0.000019480539583	0.000019452367441	0.000019480539583
42	0.000019480539583	0.000019452367441	0.000019480539583
43	0.000019480539583	0.000019452367441	0.000019480539583
44	0.000019480539583	0.000019452367441	0.000019480539583
45	0.000019480539583	0.000019452367441	0.000019480539583
46	0.000019480539583	0.000019452367441	0.000019480539583
47	0.000019480539583	0.000019452367441	0.000019480539583
48	0.000019480539583	0.000019452367441	0.000019480539583
49	0.000019480539583	0.000019452367441	0.000019480539583
50	0.000019480539583	0.000019452367441	0.000019480539583
51	0.000019480539583	0.000019452367441	0.000019480539583
52	0.000019480539583	0.000019452367441	0.000019480539583
53	0.000019480539583	0.000019452367441	0.000019480539583
54	0.000019480539583	0.000019452367441	0.000019480539583
55	0.000019480539583	0.000019452367441	0.000019480539583
56	0.000019480539583	0.000019452367441	0.000019480539583
57	0.000019480539583	0.000019452367441	0.000019480539583
58	0.000036038998229	0.000035986879765	0.000036038998229
59	0.000019480539583	0.000019452367441	0.000019480539583
60	0.000036038998229	0.000035986879765	0.000036038998229
61	0.000019480539583	0.000019452367441	0.000019480539583
62	0.000052597456875	0.000052521392090	0.000052597456875
63	0.000019480539583	0.000019452367441	0.000019480539583
64	0.000036038998229	0.000035986879765	0.000036038998229
65	0.000033879199275	0.000033830204245	0.000033879199275
66	0.000033879199275	0.000033830204245	0.000033879199275
67	0.000019480539583	0.000019452367441	0.000019480539583
68	0.000089610476269	0.000086348238158	0.000089610476269
69	0.000019480539583	0.000019452367441	0.000019480539583
70	0.000019480539583	0.000019452367441	0.000019480539583
71	0.000036038998229	0.000035986879765	0.000036038998229
72	0.000019480539583	0.000019452367441	0.000019480539583
73	0.000036038998229	0.000035986879765	0.000036038998229
74	0.000019480539583	0.000019452367441	0.000019480539583
75	0.000067257756856	0.000067113831826	0.000067257756856
76	0.000019480539583	0.000019452367441	0.000019480539583
77	0.000052597456875	0.000052521392090	0.000052597456875
78	0.000019480539583	0.000019452367441	0.000019480539583
79	0.000019480539583	0.000019452367441	0.000019480539583
80	0.000122825867789	0.000122478960249	0.000122825867789
81	0.000019480539583	0.000019452367441	0.000019480539583
82	0.000019480539583	0.000019452367441	0.000019480539583
83	0.000108004301482	0.000106190357176	0.000108004301482
84	0.000235622197477	0.000225529966383	0.000235622197477
85	0.000019480539583	0.000019452367441	0.000019480539583
86	0.000019480539583	0.000019452367441	0.000019480539583
87	0.000249590709305	0.000266260449410	0.000249590709305
88	0.000019480539583	0.000019452367441	0.000019480539583
89	0.000117301277768	0.000117131640357	0.000117301277768
90	0.000036038998229	0.000035986879765	0.000036038998229
91	0.000034797113830	0.000034746791341	0.000034797113830
92	0.000019480539583	0.000019452367441	0.000019480539583
93	0.000286088972173	0.000284947031838	0.000286088972173
94	0.000019480539583	0.000019452367441	0.000019480539583
95	0.000019480539583	0.000019452367441	0.000019480539583
96	0.000019480539583	0.000019452367441	0.000019480539583
97	0.000019480539583	0.000019452367441	0.000019480539583
98	0.000019480539583	0.000019452367441	0.000019480539583
99	0.000019480539583	0.000019452367441	0.000019480539583
100	0.000019480539583	0.000019452367441	0.000019480539583
101	0.000019480539583	0.000019452367441	0.000019480539583
